seq_ID	genotype	strain	host	county	state	country	continent 	year	month	day	source	sequencing_platform	number_segment_sequences	collected_by	Bioproject	Biosample	
BTV10/AA10AAAFAAAA/CA31_CA101992/Ovine/Hopland_California|1992-01-01	AA10AAAFAAAA	CA31_CA101992	Ovine	Hopland	California	United States	North America	1992	1	1	cell culture isolate	Illumina Sequencing	10	CSU	unpublished	unpublished	
BTV10/AA10AAAFAAAA/CA45_10O80R/Ovine/Kern_California|1980-01-01	AA10AAAFAAAA	CA45_10O80R	Ovine	Kern	California	United States	North America	1980	1	1	cell culture isolate	Illumina Sequencing	10	CSU	unpublished	unpublished	
BTV10/AA10AAAFAAAC/CA46_10B80Z/Bovine/Kern_California|1980-01-01	AA10AAAFAAAC	CA46_10B80Z	Bovine	Kern	California	United States	North America	1980	1	1	cell culture isolate	Illumina Sequencing	10	CSU	unpublished	unpublished	
BTV10/AA10AAAFAAAC/CA47_10B80X/Bovine/Stanlislaus_California|1980-01-01	AA10AAAFAAAC	CA47_10B80X	Bovine	Stanlislaus	California	United States	North America	1980	1	1	cell culture isolate	Illumina Sequencing	10	CSU	unpublished	unpublished	
BTV10/AA10AAAFAAAC/CA48_10O80V/Ovine/Kern_California|1980-01-01	AA10AAAFAAAC	CA48_10O80V	Ovine	Kern	California	United States	North America	1980	1	1	cell culture isolate	Illumina Sequencing	10	CSU	unpublished	unpublished	
BTV10/AA10AAAFAAAC/CA57_10O80Z/Ovine/Solano_California|1980-01-01	AA10AAAFAAAC	CA57_10O80Z	Ovine	Solano	California	United States	North America	1980	1	1	cell culture isolate	Illumina Sequencing	10	CSU	unpublished	unpublished	
BTV10/AA10AAAFAAAA/CA58_10B81U/Bovine/EBaton_Rouge_Louisiana|1981-01-01	AA10AAAFAAAA	CA58_10B81U	Bovine	East Baton Rouge	Louisiana	United States	North America	1981	1	1	cell culture isolate	Illumina Sequencing	10	CSU	unpublished	unpublished	
BTV10/AA10AAAFAAAA/CA65_L09/Bovine/Merced_California|2009-10-05	AA10AAAFAAAA	CA65_L09	Bovine	Merced	California	United States	North America	2009	10	5	cell culture isolate	Illumina Sequencing	10	CSU	unpublished	unpublished	
BTV10/AA10AAAFAAAA/CA66_L14/Bovine/Merced_California|2009-11-16	AA10AAAFAAAA	CA66_L14	Bovine	Merced	California	United States	North America	2009	11	16	cell culture isolate	Illumina Sequencing	10	CSU	unpublished	unpublished	
BTV10/AA10AAAFAAAA/CA68_V05/Bovine/Riverside_California|2009-09-18	AA10AAAFAAAA	CA68_V05	Bovine	Riverside	California	United States	North America	2009	9	18	cell culture isolate	Illumina Sequencing	10	CSU	unpublished	unpublished	
BTV10/AA10AAAFAAAA/CA70_23B/Bovine/Tulare_California|2009-09-27	AA10AAAFAAAA	CA70_23B	Bovine	Tulare	California	United States	North America	2009	9	27	cell culture isolate	Illumina Sequencing	10	CSU	unpublished	unpublished	
BTV10/AA10AAAFAAAA/CA71_34Y/Bovine/Tulare_California|2009-10-09	AA10AAAFAAAA	CA71_34Y	Bovine	Tulare	California	United States	North America	2009	10	9	cell culture isolate	Illumina Sequencing	10	CSU	unpublished	unpublished	
BTV17/AA17AAAFAAAA/CA72_86Y/Bovine/Tulare_California|2009-11-01	AA17AAAFAAAA	CA72_86Y	Bovine	Tulare	California	United States	North America	2009	11	1	cell culture isolate	Illumina Sequencing	10	CSU	unpublished	unpublished	
BTV10/AA10AAAFAAAA/CA75_RedRose/Bovine/Orland_California|2012-10-01	AA10AAAFAAAA	CA75_RedRose	Bovine	Orland	California	United States	North America	2012	10	1	cell culture isolate	Illumina Sequencing	10	CSU	unpublished	unpublished	
BTV10/AA10AAAFAAAA/CA78_CashMoney/Bovine/Kern_California|2012-11-18	AA10AAAFAAAA	CA78_CashMoney	Bovine	Kern	California	United States	North America	2012	11	18	cell culture isolate	Illumina Sequencing	10	CSU	unpublished	unpublished	
BTV11/AA11AAAFAAAA/CA32_UC8/Cervid/Colorado|1990-01-01	AA11AAAFAAAA	CA32_UC8	Cervine	NA	Colorado	United States	North America	1990	1	1	cell culture isolate	Illumina Sequencing	10	CSU	unpublished	unpublished	
BTV11/AA11AAAFAAAA/CA51_11B80Z/Bovine/Riverside_California|1980-01-01	AA11AAAFAAAA	CA51_11B80Z	Bovine	Riverside	California	United States	North America	1980	1	1	cell culture isolate	Illumina Sequencing	10	CSU	unpublished	unpublished	
BTV11/AA11AAAFAAAA/CA52_11B81P/Bovine/Riverside_California|1981-01-01	AA11AAAFAAAA	CA52_11B81P	Bovine	Riverside	California	United States	North America	1981	1	1	cell culture isolate	Illumina Sequencing	10	CSU	unpublished	unpublished	
BTV11/AA11AAAFAAAA/CA53_11O79X/Ovine/Nebraska|1979-01-01	AA11AAAFAAAA	CA53_11O79X	Ovine	NA	Nebraska	United States	North America	1979	1	1	cell culture isolate	Illumina Sequencing	10	CSU	unpublished	unpublished	
BTV11/AA11AAAFAAAC/CA54_ATCCVR872/Ovine/Texas|1962-01-01	AA11AAAFAAAC	CA54_ATCCVR872	Ovine	NA	Texas	United States	North America	1962	1	1	cell culture isolate	Illumina Sequencing	10	CSU	unpublished	unpublished	
BTV11/AA11AAAFAAAC/CA59_12/Bovine/Orland_California|2009-10-05	AA11AAAFAAAC	CA59_12	Bovine	Orland	California	United States	North America	2009	10	5	cell culture isolate	Illumina Sequencing	10	CSU	unpublished	unpublished	
BTV11/AA11AAAFAAAC/CA62_4889/Bovine/Dixon_California|2009-11-15	AA11AAAFAAAC	CA62_4889	Bovine	Dixon	California	United States	North America	2009	11	15	cell culture isolate	Illumina Sequencing	10	CSU	unpublished	unpublished	
BTV11/AA11AAAFAAAC/CA63_43/Bovine/Modesto_California|2009-09-01	AA11AAAFAAAC	CA63_43	Bovine	Modesto	California	United States	North America	2009	9	1	cell culture isolate	Illumina Sequencing	10	CSU	unpublished	unpublished	
BTV11/AA11AAAFAAAC/CA73_1004/Bovine/Orland_California|2010-10-01	AA11AAAFAAAC	CA73_1004	Bovine	Orland	California	United States	North America	2010	10	1	cell culture isolate	Illumina Sequencing	10	CSU	unpublished	unpublished	
BTV11/AA11AAAFAAAA/CA74_Snickers/Ovine/Orland_California|2012-07-15	AA11AAAFAAAA	CA74_Snickers	Ovine	Orland	California	United States	North America	2012	7	15	cell culture isolate	Illumina Sequencing	10	CSU	unpublished	unpublished	
BTV11/AA11AAAFAAAC/CA79_Biscuit/Bovine/Riverside_California|2010-09-18	AA11AAAFAAAC	CA79_Biscuit	Bovine	Riverside	California	United States	North America	2010	9	18	cell culture isolate	Illumina Sequencing	10	CSU	unpublished	unpublished	
BTV11/AA11AAAFAAAC/CA80_V54/Bovine/Riverside_California|2010-09-10	AA11AAAFAAAC	CA80_V54	Bovine	Riverside	California	United States	North America	2010	9	10	cell culture isolate	Illumina Sequencing	10	CSU	unpublished	unpublished	
BTV11/AA11AAAFAAAC/CA81_TR1/Bovine/Riverside_California|2010-08-07	AA11AAAFAAAC	CA81_TR1	Bovine	Riverside	California	United States	North America	2010	8	7	cell culture isolate	Illumina Sequencing	10	CSU	unpublished	unpublished	
