seq_ID	genotype	strain	host	county	state	country	continent 	year	month	day	source	sequencing_platform	number_segment_sequences	collected_by	Bioproject	Biosample
BTV6/AC06AAAEBAAC/Subclinical_A/Bovine/Logan_Colorado|2023.10.12	AC06AAAEBAAC	Subclinical_A	bovine	Logan	Colorado	United States	North America	2023	10	12	whole blood	Nanopore Sequencing	10	CSU	PRJNA1472133	SAMN60469947
BTV17/Subclinical_E/Ovine/Larimer_Colorado|2023.11.27	NA	Subclinical_E	ovine	Larimer	Colorado	United States	North America	2023	11	27	whole blood	Nanopore Sequencing	"5 (VP3, VP4, NS1, VP5, NS2)"	CSU	PRJNA1472133	SAMN60469941
BTV10/AA10AAAFAAAC/Subclinical_F/Ovine/Larimer_Colorado|2023.12.20	AA10AAAFAAAC	Subclinical_F	ovine	Larimer	Colorado	United States	North America	2023	12	20	whole blood	Nanopore Sequencing	10	CSU	PRJNA1472133	SAMN60469940
BTV13/AB13AAAEBAAC/Subclinical_G/Ovine/Larimer_Colorado|2022.09.22	AB13AAAEBAAC	Subclinical_G	ovine	Larimer	Colorado	United States	North America	2022	9	22	whole blood	Nanopore Sequencing	10	CSU	PRJNA1472133	SAMN60469939
BTV10/AA10AAAFAAAA/Subclinical_I/Ovine/Larimer_Colorado|2022.10.19	AA10AAAFAAAA	Subclinical_I	ovine	Larimer	Colorado	United States	North America	2022	10	19	whole blood	Nanopore Sequencing	10	CSU	PRJNA1472133	SAMN60469938
BTV10/AA10AAAFAAAA/Subclinical_J/Ovine/Larimer_Colorado|2022.10.13	AA10AAAFAAAA	Subclinical_J	ovine	Larimer	Colorado	United States	North America	2022	10	13	whole blood	Nanopore Sequencing	10	CSU	PRJNA1472133	SAMN60469937
BTV10/AA10AAAFAAAA/Subclinical_K/Bovine/Washington_Colorado|2022.09.16	AA10AAAFAAAA	Subclinical_K	bovine	Washington	Colorado	United States	North America	2022	9	16	whole blood	Nanopore Sequencing	10	CSU	PRJNA1472133	SAMN60469936
BTV11/Subclinical_L/Bovine/Larimer_Colorado|2022.10.21	NA	Subclinical_L	bovine	Larimer	Colorado	United States	North America	2022	10	21	whole blood	Nanopore Sequencing	"4 (VP5, NS2, VP6, NS3)"	CSU	PRJNA1472133	SAMN60469935
BTV17/Subclinical_M/Bovine/Larimer_Colorado|2022.10.21	NA	Subclinical_M	bovine	Larimer	Colorado	United States	North America	2022	10	21	whole blood	Nanopore Sequencing	"5 (NS1, VP5, NS2, VP6, NS3)"	CSU	PRJNA1472133	SAMN60469934
BTV17/AA17AAAFAAAA/Subclinical_N/Bovine/Larimer_Colorado|2022.10.21	AA17AAAFAAAA	Subclinical_N	bovine	Larimer	Colorado	United States	North America	2022	10	21	whole blood	Nanopore Sequencing	10	CSU	PRJNA1472133	SAMN60469951
