seq_ID	genotype	strain	host	county	state	country	continent 	year	month	day	source	sequencing_platform	number_segment_sequences	collected_by	Bioproject	Biosample
BTV1/AH01AAADAAAC/FABADRU600558/South_Africa	AH01AAADAAAC	FABADRU_600558	NA	NA	NA	South Africa	Africa	NA	NA	NA	cell culture isolate	Nanopore Sequencing	10	FABADRU	PRJNA1472097	SAMN60468997
BTV1/AH01AAADAAAC/FABADRU891979/South_Africa	AH01AAADAAAC	FABADRU_891979	NA	NA	NA	South Africa	Africa	NA	NA	NA	cell culture isolate	Nanopore Sequencing	10	FABADRU	PRJNA1472097	SAMN60468996
BTV15/AJ15AAABEAAA/FABADRU600576/South_Africa	AJ15AAABEAAA	FABADRU_600576	NA	NA	NA	South Africa	Africa	NA	NA	NA	cell culture isolate	Nanopore Sequencing	10	FABADRU	PRJNA1472097	SAMN60468995
BTV16/BB16BBCEFBBB/FABADRU600577/South_Africa	BB16BBCEFBBB	FABADRU_600577	NA	NA	NA	South Africa	Africa	NA	NA	NA	cell culture isolate	Nanopore Sequencing	10	FABADRU	PRJNA1472097	SAMN60468994
BTV18/AD18AAADAAAA/FABADRU600578/South_Africa	AD18AAADAAAA	FABADRU_600578	NA	NA	NA	South Africa	Africa	NA	NA	NA	cell culture isolate	Nanopore Sequencing	10	FABADRU	PRJNA1472097	SAMN60468993
BTV19/AF19AAACDAAC/FABADRU600579/South_Africa	AF19AAACDAAC	FABADRU_600579	NA	NA	NA	South Africa	Africa	NA	NA	NA	cell culture isolate	Nanopore Sequencing	10	FABADRU	PRJNA1472097	SAMN60468992
BTV02/AI02AAADAAAC/FABADRU600556/South_Africa	AI02AAADAAAC	FABADRU_600556	NA	NA	NA	South Africa	Africa	NA	NA	NA	cell culture isolate	Nanopore Sequencing	10	FABADRU	PRJNA1472097	SAMN60468991
BTV03/AB03AAAEBAAA/FABADRU600565/South_Africa	AB03AAAEBAAA	FABADRU_600565	NA	NA	NA	South Africa	Africa	NA	NA	NA	cell culture isolate	Nanopore Sequencing	10	FABADRU	PRJNA1472097	SAMN60468990
BTV24/AA24AAAFAAAC/FABADRU600633/South_Africa	AA24AAAFAAAC	FABADRU_600633	NA	NA	NA	South Africa	Africa	NA	NA	NA	cell culture isolate	Nanopore Sequencing	10	FABADRU	PRJNA1472097	SAMN60468989
BTV04/AA04AAAFAAAA/FABADRU600566/South_Africa	AA04AAAFAAAA	FABADRU_600566	NA	NA	NA	South Africa	Africa	NA	NA	NA	cell culture isolate	Nanopore Sequencing	10	FABADRU	PRJNA1472097	SAMN60468988
BTV06/AC06AAAEBAAA/FABADRU600568/South_Africa	AC06AAAEBAAA	FABADRU_600568	NA	NA	NA	South Africa	Africa	NA	NA	NA	cell culture isolate	Nanopore Sequencing	10	FABADRU	PRJNA1472097	SAMN60468987
BTV09/AE09AAADAAAA/FABADRU600571/South_Africa	AE09AAADAAAA	FABADRU_600571	NA	NA	NA	South Africa	Africa	NA	NA	NA	cell culture isolate	Nanopore Sequencing	10	FABADRU	PRJNA1472097	SAMN60468986
